Découverte du Mékong;;"Départ de Bangkok, la vibrante capitale thaïlandaise, où vous passerez deux nuits pour explorer ses temples majestueux (Wat Arun, Grand Palais) et savourer sa cuisine de rue. Ensuite, direction Phnom Penh via un trajet terrestre (bus ou train) le long du Mékong. À Phnom Penh, découvrez le Palais Royal, le Musée du Génocide Tuol Sleng, et les marchés animés.";450;5;visite;croisière;randonée;Thailand;
Aventure Insulaire;;"Commencez par deux jours à Manille, explorant Intramuros, Makati, et savourant la cuisine locale. Partez ensuite pour Cebu, où vous découvrirez ses plages de sable blanc et les chutes Kawasan. Enfin, rejoignez Davao, où vous pourrez visiter le Mont Apo, les réserves naturelles, et profiter de fruits exotiques comme le durian.";700;7;randonée;visite;plongée;Philippines;
Malaisie & Singapour;;"Départ de Kuala Lumpur avec la découverte des tours Petronas, du quartier Bukit Bintang, et des temples colorés de Batu Caves. Puis, direction Malacca pour une immersion culturelle. Terminez par Singapour avec ses jardins futuristes, ses boutiques de luxe, et sa gastronomie variée.";650;6;visite;gastronomie;shopping;Malaisie;Singapour
Traversée de Sumatra;;"Ce voyage vous emmène du nord au sud de Sumatra, en commençant par Banda Aceh et ses plages paisibles. Continuez vers Medan pour explorer la culture locale avant de partir pour Bukit Lawang, célèbre pour ses orangs-outans. Terminez par Lampung avec ses plages idylliques.";700;8;excursion;randonée;visite;Indonesie;
Aventure culturelle et naturelle;;"Départ de Jakarta pour une découverte de sa vie urbaine animée. Puis direction Bandung, ville entourée de montagnes avec ses plantations de thé, sources chaudes, et architecture coloniale. Idéal pour les amoureux de nature et de culture.";400;4;randonée;visite;gastronomie;Indonesie;
Expédition en Terre Sauvage;;"Explorez l'île de Bornéo, côté Indonésien (Kalimantan). Partez de Pontianak pour rejoindre les parcs nationaux de Tanjung Puting où vous pourrez admirer les orangs-outans en liberté. Continuez vers Balikpapan pour découvrir ses plages et ses réserves naturelles.";700;7;exploration;safari;visite;Indonesie;
Découverte des îles Célèbes;;"Voyage au cœur de Sulawesi en commençant par Manado et ses récifs coralliens époustouflants. Poursuivez par Toraja pour un aperçu unique de ses traditions funéraires, avant de finir par Makassar avec sa culture maritime";850;8;plongée;randonée;exploration;Indonesie;
Aventure entre Jungle et Ville;;"Départ de Bandar Seri Begawan (Brunei) pour explorer sa culture raffinée, ses mosquées dorées et ses marchés flottants. Ensuite, direction Sarawak et Sabah (Malaisie) pour découvrir la jungle luxuriante et les récifs de Sipadan.";900;6;visite;plongée;randonée;Brunei;Borneo
Paradis méconnu;;"Explorez les Moluques, de Ternate à Ambon. Plongée sous-marine, plages vierges, épices parfumées, et culture locale vous attendent.";1100;10;plongée;exploration;randonée;Indonesie;
Route des Volcans;;"Partez de Sumatra (Medan) et explorez le Lac Toba, puis traversez vers Java pour découvrir les volcans actifs comme le Bromo et l’Ijen. Un voyage pour les amateurs de paysages naturels spectaculaires.";1100;10;randonée;visite;exploration;Indonesie;
Entre Ville et Paradis;;" Partez de Jakarta pour un séjour urbain, puis voyagez à travers Java (Bandung, Yogyakarta) pour rejoindre Bali. À Bali, profitez de ses plages, temples, et rizières verdoyantes.";1350;12;visite;plages;randonée;Indonesie;
Aventure Sauvage;;"Explorez le Kalimantan (Bornéo indonésien) pour des treks en jungle, des rencontres avec les orangs-outans, et des croisières sur les rivières.";1000;9;safari;exploration;randonée;Indonesie;Borneo
Malaisie et Singapour en duo;;"Un voyage combinant Kuala Lumpur, Malacca, et Singapour. Visites des marchés, jardins botaniques, et découvertes culinaires uniques.";700;6;eploration;visite;shopping;Malaisie;Singapour
Les Perles de Mindanao;;"Visitez l'île de Mindanao aux Philippines, en passant par Davao, Cagayan de Oro, et ses plages magnifiques. Un voyage hors des sentiers battus pour les aventuriers.";800;8;randonée;exploration;visite;Philippines;
L'Expédition Sumatra-Bali;;"Traversez l’Indonésie en partant de Sumatra (Medan), en passant par Java (Jakarta, Bandung, Yogyakarta), pour finalement rejoindre Bali.";1800;15;randonée;plages;visite;Indonesie;